Month,Cupcake: (Worldwide)
Jan-04,5
Feb-04,6
Mar-04,5
Apr-04,6
May-04,5
Jun-04,5
Jul-04,5
Aug-04,5
Sep-04,6
Oct-04,9
Nov-04,6
Dec-04,6
Jan-05,6
Feb-05,8
Mar-05,8
Apr-05,7
May-05,7
Jun-05,7
Jul-05,7
Aug-05,8
Sep-05,8
Oct-05,12
Nov-05,8
Dec-05,8
Jan-06,9
Feb-06,12
Mar-06,10
Apr-06,12
May-06,10
Jun-06,11
Jul-06,10
Aug-06,11
Sep-06,13
Oct-06,15
Nov-06,12
Dec-06,11
Jan-07,13
Feb-07,16
Mar-07,15
Apr-07,17
May-07,16
Jun-07,16
Jul-07,17
Aug-07,17
Sep-07,17
Oct-07,22
Nov-07,17
Dec-07,17
Jan-08,18
Feb-08,25
Mar-08,24
Apr-08,24
May-08,26
Jun-08,24
Jul-08,24
Aug-08,26
Sep-08,26
Oct-08,32
Nov-08,28
Dec-08,26
Jan-09,27
Feb-09,36
Mar-09,34
Apr-09,34
May-09,35
Jun-09,36
Jul-09,36
Aug-09,39
Sep-09,35
Oct-09,45
Nov-09,39
Dec-09,35
Jan-10,37
Feb-10,48
Mar-10,46
Apr-10,45
May-10,50
Jun-10,50
Jul-10,58
Aug-10,62
Sep-10,57
Oct-10,65
Nov-10,55
Dec-10,55
Jan-11,56
Feb-11,72
Mar-11,67
Apr-11,76
May-11,69
Jun-11,69
Jul-11,72
Aug-11,79
Sep-11,76
Oct-11,85
Nov-11,81
Dec-11,80
Jan-12,79
Feb-12,97
Mar-12,91
Apr-12,94
May-12,90
Jun-12,93
Jul-12,88
Aug-12,87
Sep-12,92
Oct-12,90
Nov-12,86
Dec-12,86
Jan-13,83
Feb-13,100
Mar-13,98
Apr-13,87
May-13,91
Jun-13,83
Jul-13,87
Aug-13,89
Sep-13,85
Oct-13,96
Nov-13,86
Dec-13,87
Jan-14,85
Feb-14,100
Mar-14,91
Apr-14,92
May-14,86
Jun-14,78
Jul-14,80
Aug-14,83
Sep-14,80
Oct-14,88
Nov-14,82
Dec-14,78
Jan-15,73
Feb-15,89
Mar-15,82
Apr-15,76
May-15,73
Jun-15,72
Jul-15,73
Aug-15,73
Sep-15,71
Oct-15,79
Nov-15,72
Dec-15,67
Jan-16,66
Feb-16,77
Mar-16,69
Apr-16,66
May-16,69
Jun-16,61
Jul-16,62
Aug-16,60
Sep-16,62
Oct-16,70
Nov-16,62
Dec-16,57
Jan-17,57
Feb-17,72
Mar-17,63
Apr-17,61
May-17,58
Jun-17,56
Jul-17,51
Aug-17,57
Sep-17,54
Oct-17,63
Nov-17,57
Dec-17,53
Jan-18,50
Feb-18,61
Mar-18,58
Apr-18,51
May-18,53
Jun-18,47
Jul-18,50
Aug-18,50
Sep-18,51
Oct-18,55
Nov-18,49
Dec-18,48
Jan-19,51
Feb-19,58
Mar-19,52
Apr-19,50
May-19,50
Jun-19,44
Jul-19,42
Aug-19,44
Sep-19,46
Oct-19,52
Nov-19,45
Dec-19,43
Jan-20,41
Feb-20,50
Mar-20,42
Apr-20,58
May-20,60
Jun-20,52
Jul-20,48
Aug-20,45
Sep-20,44
Oct-20,49
Nov-20,43
Dec-20,43
Jan-21,43
Feb-21,55
Mar-21,49
Apr-21,44
May-21,48
Jun-21,40
Jul-21,41
Aug-21,42
Sep-21,38
Oct-21,45
Nov-21,39
Dec-21,40
Jan-22,37
Feb-22,45
Mar-22,40
Apr-22,44
May-22,42
Jun-22,39
Jul-22,37
Aug-22,37
Sep-22,37
Oct-22,42
Nov-22,36
Dec-22,37
Jan-23,36
Feb-23,46
